Experiment_ID,Rxn_temp,Pd_mol%,Ligand_Name,Ligand_SMILES,Ligand_mol%,E-PR_AY,Ligand_SELFIES,E-PR_AY_shuffled,Ligand_Big_SMILES
1,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,33.807375235821326,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],5.605658997004494,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
2,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,31.68253098997345,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],1.5898772595860553,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
3,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,27.9692387473923,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],72.24744463840095,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
4,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,30.82003355579568,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],56.560148189898406,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
5,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,29.530629027561428,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],13.34198040366042,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
6,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,28.38641262830008,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],15.110514707272754,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
7,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,29.977209237475822,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],63.62739960820355,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
8,20.0,2.5,PoTol3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,3.8,30.569960007111806,[C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_3][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][C],9.76248373480832,{[$]C1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C}
9,32.81068801879883,2.7,Sphos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,7.0,17.09330870041194,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][C][C][C][C][C][Ring1][Branch1_2][C][C][C][C][C][C][Ring1][Branch1_2],1.8789477235398,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4}
10,32.81068801879883,1.3,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,2.2,51.2669566175028,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],2.964092418473418,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
