index,DOI,Donor_SMILES,Acceptor_SMILES
78,10.1002/adma.201405429,,CCCC[C@H](C[n+]1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(s1)/C(=C/c1cc(OC)c(cc1OC)/C=C(/c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)\C#N)/C#N)CC
93,10.1039/c5ra16696a,,CCCCCCCCN1C(=O)/C(=C/2\c3ccc(cc3N(C2=O)CCCCCCCC)c2ccc(s2)c2ccc3c4c2cccc4c(=O)[n+](c3=O)C(CC)CC)/c2c1cc(cc2)c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C(CC)CC
95,10.1039/c5ra16696a,,CCCCCCCCN1C(=O)/C(=C/2\c3cc(Cl)c(cc3N(C2=O)CCCCCCCC)c2ccc(s2)c2ccc3c4c2cccc4c(=O)[n+](c3=O)C(CC)CC)/c2c1cc(c(c2)Cl)c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C(CC)CC
96,10.1039/c9ra01750j,CCCC[C@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C/c1c(CC)c(c2n1[B](F)(F)n1c([C]2c2ccc(cc2)N(=O)=O)c(c(c1/C=C/c1ccc2c(c1)Sc1c(N2C[C@H](CCCC)CC)cccc1)CC)C)C)CC,
124,10.1039/c5tc01076d,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=CC(=N2)/C(=c\2/cc/c(=C(/C3=N/C(=C(\c4[nH]c1cc4)/c1ccc(cc1)Nc1nc(nc(n1)Nc1ccc(cc1)[C]1c4c(C)cc(n4[B](n4c1c(C)cc4C)(F)F)C)Nc1ccc(cc1)[C]1c4c(C)cc(n4[B](n4c1c(C)cc4C)(F)F)C)/C=C3)\c1c(C)cc(cc1C)C)/[nH]2)/c1ccc(cc1)C(=O)O,
146,10.1039/c8tc05692g,,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
147,10.1039/c8tc05692g,,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
162,10.1039/c9ra01750j,CCCC[C@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C/c1c(CC)c(c2n1[B](F)(F)n1c([C]2c2ccc(cc2)N(c2ccccc2)c2ccccc2)c(c(c1/C=C/c1ccc2c(c1)Sc1c(N2C[C@H](CCCC)CC)cccc1)CC)C)C)CC,
170,10.1039/c9ra01750j,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)[C]1c2c(C)c(c(n2[B](n2c1c(C)c(c2/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC)(F)F)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC)CC,
178,10.1039/c5tc01348h,CCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)[C]1N(C[C@@H](CCCC)CC)C(=O)c2c1c(OC[C@@H](CCCC)CC)nc2c1cccs1)c1ccc(s1)[C]1N(C[C@@H](CCCC)CC)C(=O)c2c1c(OC[C@@H](CCCC)CC)nc2c1cccs1,
201,10.1039/c5ta10430k,,CCCCCC[C@@H]([n+]1c(=O)c2cc(c3c4c2c(c1=O)cc1c4c2c(s1)cc1c4c2c3ccc4c(=O)[n+](c1=O)C(CCCCC)CCCCC)c1cc2c(=O)[n+](C(CCCCC)CCCCC)c(=O)c3c2c2c1c1ccc4c5c1c1c2c(c3)sc1cc5c(=O)[n+](c4=O)C(CCCCC)CCCCC)CCCCC
