Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES,Polymer_BigSMILES,Solvent_BigSMILES,PS_manual_tokenized,SP_manual_tokenized,PS_manual_tokenized_aug,SP_manual_tokenized_aug
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Hexane,CCCCCC,"[2, 579, 0, 75, 25, 25, 0, 0, 0, 0, 0, 0]",8.75,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][C][C][C][C][C],{[][<]CNCCCCCCCCCCCC=O[>][<]}{[>][<]CCCCCOCCCCOCCCCCO[>][]},CCCCCC,"[0, 0, 0, 0, 0, 0, 6, 7, 1, 19]","[0, 0, 0, 0, 0, 0, 19, 1, 6, 7]","[[0, 0, 0, 0, 0, 0, 6, 7, 1, 19], [0, 0, 0, 0, 0, 0, 7, 6, 1, 19]]","[[0, 0, 0, 0, 0, 0, 19, 1, 6, 7], [0, 0, 0, 0, 0, 0, 19, 1, 7, 6]]"
PAN,CCC(C)C#N,Hexane,CCCCCC,"[2, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.17,[C][C][C][Branch1_1][C][C][C][#N],[C][C][C][C][C][C],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},CCCCCC,"[0, 0, 0, 0, 0, 0, 8, 9, 1, 19]","[0, 0, 0, 0, 0, 0, 19, 1, 8, 9]","[[0, 0, 0, 0, 0, 0, 8, 9, 1, 19], [0, 0, 0, 0, 0, 0, 9, 8, 1, 19]]","[[0, 0, 0, 0, 0, 0, 19, 1, 8, 9], [0, 0, 0, 0, 0, 0, 19, 1, 9, 8]]"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Hexane,CCCCCC,"[2, 4, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0]",1.25,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][C][C][C][C][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},CCCCCC,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 19]","[0, 0, 0, 0, 19, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 19], [0, 0, 0, 0, 12, 5, 10, 11, 1, 19], [0, 0, 0, 0, 11, 12, 5, 10, 1, 19], [0, 0, 0, 0, 10, 11, 12, 5, 1, 19]]","[[0, 0, 0, 0, 19, 1, 5, 10, 11, 12], [0, 0, 0, 0, 19, 1, 12, 5, 10, 11], [0, 0, 0, 0, 19, 1, 11, 12, 5, 10], [0, 0, 0, 0, 19, 1, 10, 11, 12, 5]]"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Hexane,CCCCCC,"[4, 4, 0, 2, 0, 0, 0, 1, 4, 0, 0, 0]",1.19,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][C][C][C][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},CCCCCC,"[5, 10, 11, 10, 13, 10, 2, 12, 1, 19]","[19, 1, 5, 10, 11, 10, 13, 10, 2, 12]","[[5, 10, 11, 10, 13, 10, 2, 12, 1, 19], [12, 5, 10, 11, 10, 13, 10, 2, 1, 19], [2, 12, 5, 10, 11, 10, 13, 10, 1, 19], [10, 2, 12, 5, 10, 11, 10, 13, 1, 19], [13, 10, 2, 12, 5, 10, 11, 10, 1, 19], [10, 13, 10, 2, 12, 5, 10, 11, 1, 19], [11, 10, 13, 10, 2, 12, 5, 10, 1, 19], [10, 11, 10, 13, 10, 2, 12, 5, 1, 19]]","[[19, 1, 5, 10, 11, 10, 13, 10, 2, 12], [19, 1, 12, 5, 10, 11, 10, 13, 10, 2], [19, 1, 2, 12, 5, 10, 11, 10, 13, 10], [19, 1, 10, 2, 12, 5, 10, 11, 10, 13], [19, 1, 13, 10, 2, 12, 5, 10, 11, 10], [19, 1, 10, 13, 10, 2, 12, 5, 10, 11], [19, 1, 11, 10, 13, 10, 2, 12, 5, 10], [19, 1, 10, 11, 10, 13, 10, 2, 12, 5]]"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Hexane,CCCCCC,"[2, 4, 0, 0, 5, 2, 0, 0, 3, 0, 0, 0]",1.15,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][C][C][C][C],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},CCCCCC,"[0, 14, 15, 16, 12, 10, 17, 12, 1, 19]","[0, 19, 1, 14, 15, 16, 12, 10, 17, 12]","[[0, 14, 15, 16, 12, 10, 17, 12, 1, 19], [0, 12, 14, 15, 16, 12, 10, 17, 1, 19], [0, 17, 12, 14, 15, 16, 12, 10, 1, 19], [0, 10, 17, 12, 14, 15, 16, 12, 1, 19], [0, 12, 10, 17, 12, 14, 15, 16, 1, 19], [0, 16, 12, 10, 17, 12, 14, 15, 1, 19], [0, 15, 16, 12, 10, 17, 12, 14, 1, 19]]","[[0, 19, 1, 14, 15, 16, 12, 10, 17, 12], [0, 19, 1, 12, 14, 15, 16, 12, 10, 17], [0, 19, 1, 17, 12, 14, 15, 16, 12, 10], [0, 19, 1, 10, 17, 12, 14, 15, 16, 12], [0, 19, 1, 12, 10, 17, 12, 14, 15, 16], [0, 19, 1, 16, 12, 10, 17, 12, 14, 15], [0, 19, 1, 15, 16, 12, 10, 17, 12, 14]]"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Hexane,CCCCCC,"[5, 5, 0, 0, 5, 2, 0, 0, 4, 0, 0, 0]",3.57,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][C][C][C][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},CCCCCC,"[0, 0, 0, 16, 15, 14, 10, 18, 1, 19]","[0, 0, 0, 19, 1, 16, 15, 14, 10, 18]","[[0, 0, 0, 16, 15, 14, 10, 18, 1, 19], [0, 0, 0, 18, 16, 15, 14, 10, 1, 19], [0, 0, 0, 10, 18, 16, 15, 14, 1, 19], [0, 0, 0, 14, 10, 18, 16, 15, 1, 19], [0, 0, 0, 15, 14, 10, 18, 16, 1, 19]]","[[0, 0, 0, 19, 1, 16, 15, 14, 10, 18], [0, 0, 0, 19, 1, 18, 16, 15, 14, 10], [0, 0, 0, 19, 1, 10, 18, 16, 15, 14], [0, 0, 0, 19, 1, 14, 10, 18, 16, 15], [0, 0, 0, 19, 1, 15, 14, 10, 18, 16]]"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Hexane,CCCCCC,"[4, 4, 0, 2, 4, 2, 0, 0, 5, 0, 0, 0]",0.83,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][C][C][C][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CCCCCC,"[16, 13, 10, 2, 10, 13, 14, 12, 1, 19]","[19, 1, 16, 13, 10, 2, 10, 13, 14, 12]","[[16, 13, 10, 2, 10, 13, 14, 12, 1, 19], [12, 16, 13, 10, 2, 10, 13, 14, 1, 19], [14, 12, 16, 13, 10, 2, 10, 13, 1, 19], [13, 14, 12, 16, 13, 10, 2, 10, 1, 19], [10, 13, 14, 12, 16, 13, 10, 2, 1, 19], [2, 10, 13, 14, 12, 16, 13, 10, 1, 19], [10, 2, 10, 13, 14, 12, 16, 13, 1, 19], [13, 10, 2, 10, 13, 14, 12, 16, 1, 19]]","[[19, 1, 16, 13, 10, 2, 10, 13, 14, 12], [19, 1, 12, 16, 13, 10, 2, 10, 13, 14], [19, 1, 14, 12, 16, 13, 10, 2, 10, 13], [19, 1, 13, 14, 12, 16, 13, 10, 2, 10], [19, 1, 10, 13, 14, 12, 16, 13, 10, 2], [19, 1, 2, 10, 13, 14, 12, 16, 13, 10], [19, 1, 10, 2, 10, 13, 14, 12, 16, 13], [19, 1, 13, 10, 2, 10, 13, 14, 12, 16]]"
PAN,CCC(C)C#N,Toluene,c1ccccc1C,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",2.25,[C][C][C][Branch1_1][C][C][C][#N],[C][=C][C][=C][C][=C][Ring1][Branch1_2][C],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},c1ccccc1C,"[0, 0, 0, 0, 0, 0, 8, 9, 1, 20]","[0, 0, 0, 0, 0, 0, 20, 1, 8, 9]","[[0, 0, 0, 0, 0, 0, 8, 9, 1, 20], [0, 0, 0, 0, 0, 0, 9, 8, 1, 20]]","[[0, 0, 0, 0, 0, 0, 20, 1, 8, 9], [0, 0, 0, 0, 0, 0, 20, 1, 9, 8]]"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Toluene,c1ccccc1C,"[1, 0, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0]",5.04,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][=C][C][=C][C][=C][Ring1][Branch1_2][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},c1ccccc1C,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 20]","[0, 0, 0, 0, 20, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 20], [0, 0, 0, 0, 12, 5, 10, 11, 1, 20], [0, 0, 0, 0, 11, 12, 5, 10, 1, 20], [0, 0, 0, 0, 10, 11, 12, 5, 1, 20]]","[[0, 0, 0, 0, 20, 1, 5, 10, 11, 12], [0, 0, 0, 0, 20, 1, 12, 5, 10, 11], [0, 0, 0, 0, 20, 1, 11, 12, 5, 10], [0, 0, 0, 0, 20, 1, 10, 11, 12, 5]]"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Toluene,c1ccccc1C,"[1, 0, 0, 0, 5, 2, 0, 0, 4, 0, 0, 0]",3.29,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][=C][C][=C][C][=C][Ring1][Branch1_2][C],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},c1ccccc1C,"[0, 14, 15, 16, 12, 10, 17, 12, 1, 20]","[0, 20, 1, 14, 15, 16, 12, 10, 17, 12]","[[0, 14, 15, 16, 12, 10, 17, 12, 1, 20], [0, 12, 14, 15, 16, 12, 10, 17, 1, 20], [0, 17, 12, 14, 15, 16, 12, 10, 1, 20], [0, 10, 17, 12, 14, 15, 16, 12, 1, 20], [0, 12, 10, 17, 12, 14, 15, 16, 1, 20], [0, 16, 12, 10, 17, 12, 14, 15, 1, 20], [0, 15, 16, 12, 10, 17, 12, 14, 1, 20]]","[[0, 20, 1, 14, 15, 16, 12, 10, 17, 12], [0, 20, 1, 12, 14, 15, 16, 12, 10, 17], [0, 20, 1, 17, 12, 14, 15, 16, 12, 10], [0, 20, 1, 10, 17, 12, 14, 15, 16, 12], [0, 20, 1, 12, 10, 17, 12, 14, 15, 16], [0, 20, 1, 16, 12, 10, 17, 12, 14, 15], [0, 20, 1, 15, 16, 12, 10, 17, 12, 14]]"
